word,definition,part of speech
accentuate,"to stress, highlight (Psychologists agree that those people who are happiest accentuate the positive in life.)",v.
accessible,"obtainable, reachable (After studying with SparkNotes and getting a great score on the SAT, Marlena happily realized that her goal of getting into an Ivy-League college was accessible.)",adj.
acclaim,"high praise (Greg’s excellent poem won the acclaim of his friends.)",n.
accolade,"high praise, special distinction (Everyone offered accolades to Sam after he won the Noble Prize.)",n.
accommodating,"helpful, obliging, polite (Though the apartment was not big enough for three people, Arnold, Mark, and Zebulon were all friends and were accommodating to each other.)",adj.
accord,"an agreement (After much negotiating, England and Iceland finally came to a mutually beneficial accord about fishing rights off the cost of Greenland.)",n.
accost,"to confront verbally (Though Antoinette was normally quite calm, when the waiter spilled soup on her for the fourth time in 15 minutes she stood up and accostedthe man.)",v.
accretion,"slow growth in size or amount (Stalactites are formed by the accretion of minerals from the roofs of caves.)",n.
acerbic,"biting, bitter in tone or taste (Jill became extremely acerbic and began to cruelly make fun of all her friends.)",adj.
acquiesce,"to agree without protesting (Though Mr. Correlli wanted to stay outside and work in his garage, when his wife told him that he had better come in to dinner, he acquiesced to her demands.)",v.
acrimony,"bitterness, discord (Though they vowed that no girl would ever come between them, Biff and Trevor could not keep acrimony from overwhelming their friendship after they both fell in love with the lovely Teresa.)",n.
acumen,"keen insight (Because of his mathematical acumen, Larry was able to figure out in minutes problems that took other students hours.)acute 1. (adj.) sharp, severe (Arnold could not walk because the pain in his foot was so acute.) 2. (adj.) having keen insight (Because she was so acute, Libby instantly figured out how the magician pulled off his “magic.”)",n.
adamant,"impervious, immovable, unyielding (Though public pressure was intense, the President remained adamant about his proposal.)",adj. 
adept,"extremely skilled (Tarzan was adept at jumping from tree to tree like a monkey.)adhere 1. (n.) to stick to something (We adhered the poster to the wall with tape.) 2. (n.)to follow devoutly (He adhered to the dictates of his religion without question.)",adj.
admonish,"to caution, criticize, reprove (Joe’s mother admonished him not to ruin his appetite by eating cookies before dinner.)",v.
adorn,"to decorate (We adorned the tree with ornaments.)",v.
adroit,"skillful, dexterous (The adroit thief could pick someone’s pocket without attracting notice.)",adj.
adulation,"extreme praise (Though the book was pretty good, Marcy did not believe it deserved the adulation it received.)",n. 
adumbrate,"to sketch out in a vague way (The coach adumbrated a game plan, but none of the players knew precisely what to do.)",v.
adverse,"antagonistic, unfavorable, dangerous (Because of adverse conditions, the hikers decided to give up trying to climb the mountain.)advocate 1. (v.) to argue in favor of something (Arnold advocated turning left at the stop sign, even though everyone else thought we should turn right.) 2. (n.) a person who argues in favor of something (In addition to wanting to turn left at every stop sign, Arnold was also a great advocate of increasing national defense spending.)",adj.
aerial,"somehow related to the air (We watched as the fighter planes conducted aerial maneuvers.)",adj.
aesthetic,"artistic, related to the appreciation of beauty (We hired Susan as our interior decorator because she has such a fine aesthetic sense.)",adj.
affable,"friendly, amiable (People like to be around George because he is so affableand good-natured.)",adj.
affinity,"a spontaneous feeling of closeness (Jerry didn’t know why, but he felt an incredible affinity for Kramer the first time they met.)",n.
affluent,"rich, wealthy (Mrs. Grebelski was affluent, owning a huge house, three cars, and an island near Maine.)",adj.
affront,"an insult (Bernardo was very touchy, and took any slight as an affront to his honor.)",n.
aggrandize,"to increase or make greater (Joseph always dropped the names of the famous people his father knew as a way to aggrandize his personal stature.)aggregate 1. (n.) a whole or total (The three branches of the U.S. Government form an aggregate much more powerful than its individual parts.) 2. (v.) to gather into a mass (The dictator tried to aggregate as many people into his army as he possibly could.)",v.
aggrieved,"distressed, wronged, injured (The foreman mercilessly overworked his aggrieved employees.)",adj.
agile,"quick, nimble (The dogs were too slow to catch the agile rabbit.)",adj.
agnostic,"believing that the existence of God cannot be proven or disproven (Joey’s parents are very religious, but he is agnostic.)",adj.
agriculture,"farming (It was a huge step in the progress of civilization when tribes left hunting and gathering and began to develop more sustainable methods of obtaining food, such as agriculture.)",n.
aisle,"a passageway between rows of seats (Once we got inside the stadium we walked down the aisle to our seats.)",n.
alacrity,"eagerness, speed (For some reason, Chuck loved to help his mother whenever he could, so when his mother asked him to set the table he did so with alacrity.)",n.
alias,"a false name or identity (He snuck past the guards by using an alias and fake ID.)",n.
allay,"to soothe, ease (The chairman of the Federal Reserve gave a speech to try to allay investors’ fears about an economic downturn.)",v.
allege,"to assert, usually without proof (The policeman had alleged that Marshall committed the crime, but after the investigation turned up no evidence, Marshall was set free.)",v.
alleviate,"to relieve, make more bearable (This drug will alleviate the symptoms of the terrible disease, but only for a while.)",v.
allocate,"to distribute, set aside (The Mayor allocated 30 percent of the funds for improving the town’s schools.)",v.
aloof,"reserved, distant (The scientist could sometimes seem aloof, as if he didn’t care about his friends or family, but really he was just thinking about quantum mechanics.)",adj. 
altercation,"a dispute, fight (Jason and Lionel blamed one another for the car accident, leading to an altercation.)",n.
amalgamate,"to bring together, unite (Because of his great charisma, the presidential candidate was able to amalgamate all democrats and republicans under his banner.)",v.
ambiguous,"uncertain, variably interpretable (Some people think Caesar married Cleopatra for her power, others believe he was charmed by her beauty. His actual reasons are ambiguous.)",adj.
ambivalent,"having opposing feelings (My feelings about Calvin are ambivalentbecause on one hand he is a loyal friend, but on the other, he is a cruel and vicious thief.)",adj.
ameliorate,"to improve (The tense situation was ameliorated when Sam proposed a solution everyone could agree upon.)",v.
amenable,"willing, compliant (Our father was amenable when we asked him to drive us to the farm so we could go apple picking.)",adj.
amenity,"an item that increases comfort (Bill Gates’s house is stocked with so many amenities, he never has to do anything for himself.)",n.
amiable,"friendly (An amiable fellow, Harry got along with just about everyone.)",adj.
amicable,"friendly (Claudia and Jimmy got divorced, but amicably and without hard feelings.)",adj.
amorous,"showing love, particularly sexual (Whenever Albert saw Mariah wear her slinky red dress, he began to feel quite amorous.)",adj.
amorphous,"without definite shape or type (The effort was doomed from the start, because the reasons behind it were so amorphous and hard to pin down.)",adj.
anachronistic,"being out of correct chronological order (In this book you’re writing, you say that the Pyramids were built after the Titanic sank, which is anachronistic.)",adj.
analgesic,"something that reduces pain (Put this analgesic on the wound so that the poor man at least feels a little better.)",n.
analogous,"similar to, so that an analogy can be drawn (Though they are unrelated genetically, the bone structure of whales and fish is quite analogous.)",adj.
anarchist,"one who wants to eliminate all government (An anarchist, Carmine wanted to dissolve every government everywhere.)",n.
anathema,"a cursed, detested person (I never want to see that murderer. He is an anathema to me.)",n.
anecdote,"a short, humorous account (After dinner, Marlon told an anecdote about the time he got his nose stuck in a toaster.)",n.
anesthesia,"loss of sensation (When the nerves in his spine were damaged, Mr. Hollins suffered anesthesia in his legs.)",n. 
anguish,"extreme sadness, torment (Angelos suffered terrible anguish when he learned that Buffy had died while combating a strange mystical force of evil.)",n.
animated,"lively (When he begins to talk about drama, which is his true passion, he becomes very animated.)annex 1. (v.) to incorporate territory or space (After defeating them in battle, the Russians annexed Poland.) 2. (n.) a room attached to a larger room or space (He likes to do his studying in a little annex attached to the main reading room in the library.)",adj.
annul,"to make void or invalid (After seeing its unforeseen and catastrophic effects, Congress sought to annul the law.)",v.
anomaly,"something that does not fit into the normal order (“That rip in the space￾time continuum is certainly a spatial anomaly,” said Spock to Captain Kirk.)",n.
anonymous,"being unknown, unrecognized (Mary received a love poem from an anonymous admirer.)",adj.
antagonism,"hostility (Superman and Bizarro Superman shared a mutual antagonism, and often fought.)",n.
antecedent,"something that came before (The great tradition of Western culture had its antecedent in the culture of Ancient Greece.)",n.
antediluvian,"ancient (The antediluvian man still believed that Eisenhower was president of the United States and that hot dogs cost a nickel.)",adj.
anthology,"a selected collection of writings, songs, etc. (The new anthology of Bob Dylan songs contains all his greatest hits and a few songs that you might never have heard before.)",n.
antipathy,"a strong dislike, repugnance (I know you love me, but because you are a liar and a thief, I feel nothing but antipathy for you.)",n.
antiquated,"old, out of date (That antiquated car has none of the features, like power windows and steering, that make modern cars so great.)",adj.
antiseptic,"clean, sterile (The antiseptic hospital was very bare, but its cleanliness helped to keep patients healthy.)",adj.
antithesis,"the absolute opposite (Your values, which hold war and violence in the highest esteem, are the antithesis of my pacifist beliefs.)",n.
anxiety,"intense uneasiness (When he heard about the car crash, he felt anxietybecause he knew that his girlfriend had been driving on the road where the accident occurred.)",n.
apathetic,"lacking concern, emotion (Uninterested in politics, Bruno was apathetic about whether he lived under a capitalist or communist regime.)",adj. 
apocryphal,"fictitious, false, wrong (Because I am standing before you, it seems obvious that the stories circulating about my demise were apocryphal.)",adj. 
appalling,"inspiring shock, horror, disgust (The judge found the murderer’s crimes and lack of remorse appalling.)",adj.
appease,"to calm, satisfy (When the child cries, the mother gives him candy to appease him.)",v.
appraise,"to assess the worth or value of (A realtor will come over tonight to appraise our house.)apprehend 1. (v.) to seize, arrest (The criminal was apprehended at the scene.) 2. (v.) to perceive, understand, grasp (The student has trouble apprehending concepts in math and science.)",v.
approbation,"praise (The crowd welcomed the heroes with approbation.)",n.
appropriate,"to take, make use of (The government appropriated the farmer’s land without justification.)",v.
aquatic,"relating to water (The marine biologist studies starfish and other aquaticcreatures.)",adj.
arable,"suitable for growing crops (The farmer purchased a plot of arable land on which he will grow corn and sprouts.)",adj.
arbiter,"one who can resolve a dispute, make a decision (The divorce court judge will serve as the arbiter between the estranged husband and wife.)",n.
arbitrary,"based on factors that appear random (The boy’s decision to choose one college over another seems arbitrary.)",adj.
arbitration,"the process or act of resolving a dispute (The employee sought official arbitration when he could not resolve a disagreement with his supervisor.)",n.
arboreal,"of or relating to trees (Leaves, roots, and bark are a few arboreal traits.)",adj.
arcane,"obscure, secret, known only by a few (The professor is an expert in arcaneLithuanian literature.)",adj.
archaic,"of or relating to an earlier period in time, outdated (In a few select regions of Western Mongolian, an archaic Chinese dialect is still spoken.)",adj.
archetypal,"the most representative or typical example of something (Some believe George Washington, with his flowing white hair and commanding stature, was the archetypal politician.)",adj.
ardor,"extreme vigor, energy, enthusiasm (The soldiers conveyed their ardor with impassioned battle cries.)",n.
arid,"excessively dry (Little other than palm trees and cacti grow successfully in arid environments.)",adj.
arrogate,"to take without justification (The king arrogated the right to order executions to himself exclusively.)",v.
artifact,"a remaining piece from an extinct culture or place (The scientists spent all day searching the cave for artifacts from the ancient Mayan civilization.)",n.
artisan,"a craftsman (The artisan uses wood to make walking sticks.)",n.
ascertain,"to perceive, learn (With a bit of research, the student ascertained that some plants can live for weeks without water.)",v.
ascetic,"practicing restraint as a means of self-discipline, usually religious (The priest lives an ascetic life devoid of television, savory foods, and other pleasures.)",adj.
ascribe,"to assign, credit, attribute to (Some ascribe the invention of fireworks and dynamite to the Chinese.)",v.
aspersion,"a curse, expression of ill-will (The rival politicians repeatedly cast aspersions on each others’ integrity.)",n.
aspire,"to long for, aim toward (The young poet aspires to publish a book of verse someday.)",v.
assail,"to attack (At dawn, the war planes assailed the boats in the harbor.)",v.
assess,"to evaluate (A crew arrived to assess the damage after the crash.)",v.
assiduous,"hard-working, diligent (The construction workers erected the skyscraper during two years of assiduous labor.)",adj.
assuage,"to ease, pacify (The mother held the baby to assuage its fears.)",v.
astute,"very clever, crafty (Much of Roger’s success in politics results from his ability to provide astute answers to reporters’ questions.)asylum 1. (n.) a place of refuge, protection, a sanctuary (For Thoreau, the forest served as an asylum from the pressures of urban life.) 2. (n.) an institution in which the insane are kept (Once diagnosed by a certified psychiatrist, the man was put in an asylum.)",adj.
atone,"to repent, make amends (The man atoned for forgetting his wife’s birthday by buying her five dozen roses.)",v.
atrophy,"to wither away, decay (If muscles do not receive enough blood, they will soon atrophy and die.)",v.
attain,"to achieve, arrive at (The athletes strived to attain their best times in competition.)attribute 1. (v.) to credit, assign (He attributes all of his success to his mother’s undying encouragement.) 2. (n.) a facet or trait (Among the beetle’s most peculiar attributes is its thorny protruding eyes.)",v.
atypical,"not typical, unusual (Screaming and crying is atypical adult behavior.)",adj.
audacious,"excessively bold (The security guard was shocked by the fan’s audacious attempt to offer him a bribe.)",adj.
audible,"able to be heard (The missing person’s shouts were unfortunately not audible.)",adj.
augment,"to add to, expand (The eager student seeks to augment his knowledge of French vocabulary by reading French literature.)",v.
auspicious,"favorable, indicative of good things (The tennis player considered the sunny forecast an auspicious sign that she would win her match.)",adj.
austere,"very bare, bleak (The austere furniture inside the abandoned house made the place feel haunted.)",adj.
avarice,"excessive greed (The banker’s avarice led him to amass a tremendous personal fortune.)",n.
avenge,"to seek revenge (The victims will take justice into their own hands and strive to avenge themselves against the men who robbed them.)",v.
aversion,"a particular dislike for something (Because he’s from Hawaii, Ben has an aversion to autumn, winter, and cold climates in general.) B",n.
balk,"to stop, block abruptly (Edna’s boss balked at her request for another raise.)",v.
ballad,"a love song (Greta’s boyfriend played her a ballad on the guitar during their walk through the dark woods.)",n.
banal,"dull, commonplace (The client rejected our proposal because they found our presentation banal and unimpressive.)",adj.
bane,"a burden (Advanced physics is the bane of many students’ academic lives.)",n.
bard,"a poet, often a singer as well (Shakespeare is often considered the greatest bardin the history of the English language.)",n.
bashful,"shy, excessively timid (Frankie’s mother told him not to be bashful when he refused to attend the birthday party.)battery 1.(n.) a device that supplies power (Most cars run on a combination of power from a battery and gasoline.) 2. (n.)assault, beating (Her husband was accused of assault and battery after he attacked a man on the sidewalk.)",adj.
beguile,"to trick, deceive (The thief beguiled his partners into surrendering all of their money to him.)",v.
behemoth,"something of tremendous power or size (The new aircraft carrier is among several behemoths that the Air Force has added to its fleet.)",n.
benevolent,"marked by goodness or doing good (Police officers should be commended for their benevolent service to the community.)",adj.
benign,"favorable, not threatening, mild (We were all relieved to hear that the medical tests determined her tumor to be benign.)",adj.
bequeath,"to pass on, give (Jon’s father bequeathed his entire estate to his mother.)",v.
berate,"to scold vehemently (The angry boss berated his employees for failing to meet their deadline.)",v.
bereft,"devoid of, without (His family was bereft of food and shelter following the tornado.)",adj.
beseech,"to beg, plead, implore (The servant beseeched the king for food to feed his starving family.)",v.
bias,"a tendency, inclination, prejudice (The judge’s hidden bias against smokers led him to make an unfair decision.)",n.
bilk,"cheat, defraud (The lawyer discovered that this firm had bilked several clients out of thousands of dollars.)",v.
blandish,"to coax by using flattery (Rachel’s assistant tried to blandish her into accepting the deal.)",v.
blemish,"an imperfection, flaw (The dealer agreed to lower the price because of the many blemishes on the surface of the wooden furniture.)blight 1. (n.) a plague, disease (The potato blight destroyed the harvest and bankrupted many families.) 2. (n.) something that destroys hope (His bad morale is a blightupon this entire operation.)",n.
boisterous,"loud and full of energy (The candidate won the vote after giving several boisterous speeches on television.)",adj.
bombastic,"excessively confident, pompous (The singer’s bombastic performance disgusted the crowd.)",adj.
boon,"a gift or blessing (The good weather has been a boon for many businesses located near the beach.)",n.
bourgeois,"a middle-class person, capitalist (Many businessmen receive criticism for their bourgeois approach to life.)",n.
brazen,"excessively bold, brash (Critics condemned the novelist’s brazen attempt to plagiarize Hemingway’s story.)",adj.
brusque,"short, abrupt, dismissive (The captain’s brusque manner offended the passengers.)buffet 1. (v.) to strike with force (The strong winds buffeted the ships, threatening to capsize them.) 2. (n.) an arrangement of food set out on a table (Rather than sitting around a table, the guests took food from our buffet and ate standing up.)",adj.
burnish,"to polish, shine (His mother asked him to burnish the silverware before setting the table.)buttress 1. (v.) to support, hold up (The column buttresses the roof above the statue.) 2. (n.)something that offers support (The buttress supports the roof above the statues.)C",v.
cacophony,"tremendous noise, disharmonious sound (The elementary school orchestra created a cacophony at the recital.)",n.
cadence,"a rhythm, progression of sound (The pianist used the foot pedal to emphasize the cadence of the sonata.)",n.
cajole,"to urge, coax (Fred’s buddies cajoled him into attending the bachelor party.)",v.
calamity,"an event with disastrous consequences (The earthquake in San Francisco was a calamity worse than any other natural disaster in history.)",n.
calibrate,"to set, standardize (The mechanic calibrated the car’s transmission to make the motor run most efficiently.)",v.
callous,"harsh, cold, unfeeling (The murderer’s callous lack of remorse shocked the jury.)",adj.
calumny,"an attempt to spoil someone else’s reputation by spreading lies (The local official’s calumny ended up ruining his opponent’s prospect of winning the election.)",n.
camaraderie,"brotherhood, jovial unity (Camaraderie among employees usually leads to success in business.)",n.
candor,"honesty, frankness (We were surprised by the candor of the mayor’s speech because he is usually rather evasive.)",n.
canny,"shrewd, careful (The canny runner hung at the back of the pack through much of the race to watch the other runners, and then sprinted past them at the end.)canvas 1. (n.) a piece of cloth on which an artist paints (Picasso liked to work on canvasrather than on bare cement.) 2. (v.) to cover, inspect (We canvassed the neighborhood looking for clues.)",adj.
capacious,"very spacious (The workers delighted in their new capacious office space.)",adj.
capitulate,"to surrender (The army finally capitulated after fighting a long costly battle.)",v.
capricious,"subject to whim, fickle (The young girl’s capricious tendencies made it difficult for her to focus on achieving her goals.)",adj.
captivate,"to get the attention of, hold (The fireworks captivated the young boy, who had never seen such things before.)",v.
carouse,"to party, celebrate (We caroused all night after getting married.)",v.
carp,"to annoy, pester (The husband divorced his wife after listening to her carpingvoice for decades.)catalog 1. (v.) to list, enter into a list (The judge cataloged the victim’s injuries before calculating how much money he would award.) 2. (n.) a list or collection (We received a catalog from J. Crew that displayed all of their new items.)",v.
catalyze,"to charge, inspire (The president’s speech catalyzed the nation and resuscitated the economy.)",v.
caucus,"a meeting usually held by people working toward the same goal (The ironworkers held a caucus to determine how much of a pay increase they would request.)",n.
caustic,"bitter, biting, acidic (The politicians exchanged caustic insults for over an hour during the debate.)",adj.
cavort,"to leap about, behave boisterously (The adults ate their dinners on the patio, while the children cavorted around the pool.)censure 1. (n.) harsh criticism (The frustrated teenager could not put up with anymore of her critical mother’s censure.) 2. (v.) to rebuke formally (The principal censuredthe head of the English Department for forcing students to learn esoteric vocabulary.)",v.
cerebral,"related to the intellect (The books we read in this class are too cerebral—they don’t engage my emotions at all.)",adj.
chaos,"absolute disorder (Mr. Thornton’s sudden departure for the lavatory plunged his classroom into chaos.)",n.
chastise,"to criticize severely (After being chastised by her peers for mimicking Britney Spears, Miranda dyed her hair black and affected a Gothic style.)",v.
cherish,"to feel or show affection toward something (She continued to cherish her red plaid trousers, even though they had gone out of style and no longer fit her.)",v.
chide,"to voice disapproval (Lucy chided Russell for his vulgar habits and sloppy appearance.)",v.
choreography,"the arrangement of dances (The plot of the musical was banal, but the choreography was stunning.)chronicle 1. (n.) a written history (The library featured the newly updated chronicle of World War II.) 2. (v.) to write a history (Albert’s diary chronicled the day-to-day growth of his obsession with Cynthia.)",n.
chronological,"arranged in order of time (Lionel carefully arranged the snapshots of his former girlfriends in chronological order, and then set fire to them.)",adj.
circuitous,"roundabout (The bus’s circuitous route took us through numerous outlying suburbs.)",adj.
circumlocution,"indirect and wordy language (The professor’s habit of speaking in circumlocutions made it difficult to follow his lectures.)",n.
circumscribed,"marked off, bounded (The children were permitted to play tag only within a carefully circumscribed area of the lawn.)",adj.
circumspect,"cautious (Though I promised Rachel’s father I would bring her home promptly by midnight, it would have been more circumspect not to have specified a time.)",adj.
circumvent,"to get around (The school’s dress code forbidding navel-baring jeans was circumvented by the determined students, who were careful to cover up with long coats when administrators were nearby.)",v.
clairvoyant,"able to perceive things that normal people cannot (Zelda’s uncanny ability to detect my lies was nothing short of clairvoyant.)clamor 1. (n.) loud noise (Each morning the birds outside my window make such a clamor that they wake me up.) 2. (v.)to loudly insist (Neville’s fans clamored for him to appear on stage, but he had passed out on the floor of his dressing room.)",adj.
clandestine,"secret (Announcing to her boyfriend that she was going to the gym, Sophie actually went to meet Joseph for a clandestine liaison.) cleave 1. (v.) to divide into parts (Following the scandalous disgrace of their leader, the entire political party cleaved into warring factions.) 2. (v.) to stick together firmly (After resolving their marital problems, Junior and Rosa cleaved to one another all the more tightly.)",adj.
clemency,"mercy (After he forgot their anniversary, Martin could only beg Maria for clemency.)",n.
clergy,"members of Christian holy orders (Though the villagers viewed the church rectory as quaint and charming, the clergy who lived there regarded it as a mildewy and dusty place that aggravated their allergies.)",n.
cloying,"sickeningly sweet (Though Ronald was physically attractive, Maud found his constant compliments and solicitous remarks cloying.)",adj.
coagulate,"to thicken, clot (The top layer of the pudding had coagulated into a thick skin.)",v.
coalesce,"to fuse into a whole (Gordon’s ensemble of thrift-shop garments coalescedinto a surprisingly handsome outfit.)",v.
cobbler,"a person who makes or repairs shoes (I had my neighborhood cobblerreplace my worn-out leather soles with new ones.)",n.
coerce,"to make somebody do something by force or threat (The court decided that Vanilla Ice did not have to honor the contract because he had been coerced into signing it.)",v.
cogent,"intellectually convincing (Irene’s arguments in favor of abstinence were so cogent that I could not resist them.)",adj.
cognizant,"aware, mindful (Jake avoided speaking to women in bars because he was cognizant of the fact that drinking impairs his judgment.)",adj.
coherent,"logically consistent, intelligible (Renee could not figure out what Monroe had seen because he was too distraught to deliver a coherent statement.)collateral 1. (adj.)secondary (Divorcing my wife had the collateral effect of making me poor, as she was the only one of us with a job or money.) 2. (n.) security for a debt (Jacob left his watch as collateral for the $500 loan.)",adj.
colloquial,"characteristic of informal conversation (Adam’s essay on sexual response in primates was marked down because it contained too many colloquialexpressions.)",adj.
collusion,"secret agreement, conspiracy (The three law students worked in collusionto steal the final exam.)",n.
colossus,"a gigantic statue or thing (For 56 years, the ancient city of Rhodes featured a colossus standing astride its harbor.)",n.
combustion,"the act or process of burning (The unexpected combustion of the prosecution’s evidence forced the judge to dismiss the case against Ramirez.)",n.
commendation,"a notice of approval or recognition (Jared received a commendationfrom Linda, his supervisor, for his stellar performance.)",n.
commensurate,"corresponding in size or amount (Ahab selected a very long roll and proceeded to prepare a tuna salad sandwich commensurate with his enormous appetite.)",adj.
commodious,"roomy (Holden invited the three women to join him in the back seat of the taxicab, assuring them that the car was quite commodious.)",adj.
compelling,"forceful, demanding attention (Eliot’s speech was so compelling that Lenore accepted his proposal on the spot.)",adj.
compensate,"to make an appropriate payment for something (Reginald bought Sharona a new dress to compensate her for the one he’d spilled his ice cream on.)",v.
complacency,"self-satisfied ignorance of danger (Colin tried to shock his friends out of their complacency by painting a frightening picture of what might happen to them.)",n.
complement,"to complete, make perfect (Ann’s scarf complements her blouse beautifully, making her seem fully dressed even though she isn’t wearing a coat.)",v.
compliant,"ready to adapt oneself to another’s wishes (Sue had very strong opinions about what to do on a first date, and Ted was absolutely compliant.)",adj.
complicit,"being an accomplice in a wrongful act (By keeping her daughter’s affair a secret, Maddie became complicit in it.)",adj.
compliment,"an expression of esteem or approval (I blushed crimson when Emma gave me a compliment on my new haircut.)compound 1. (v.) to combine parts (The difficulty of finding a fire escape amid the smoke was compounded with the dangers posed by the panicking crowds.) 2. (n.) a combination of different parts (My attraction to Donna was a compound of curiosity about the unknown, physical desire, and intellectual admiration.) 3. (n.) a walled area containing a group of buildings (When the fighting started, Joseph rushed into the family compound because it was safe and well defended.)",n.
comprehensive,"including everything (She sent me a comprehensive list of the ingredients needed to cook rabbit soufflé.)",adj.
compress,"to apply pressure, squeeze together (Lynn compressed her lips into a frown.)",v.
compunction,"distress caused by feeling guilty (He felt compunction for the shabby way he’d treated her.)",n.
concede,"to accept as valid (Andrew had to concede that what his mother said about Diana made sense.)",v.
conciliatory,"friendly, agreeable (I took Amanda’s invitation to dinner as a very conciliatory gesture.)",adj.
concise,"brief and direct in expression (Gordon did not like to waste time, and his instructions to Brenda were nothing if not concise.)",adj.
concoct,"to fabricate, make up (She concocted the most ridiculous story to explain her absence.)",v.
concomitant,"accompanying in a subordinate fashion (His dislike of hard work carried with it a concomitant lack of funds.)",adj.
concord,"harmonious agreement (Julie and Harold began the evening with a disagreement, but ended it in a state of perfect concord.)",n.
condolence,"an expression of sympathy in sorrow (Brian lamely offered his condolences on the loss of his sister’s roommate’s cat.)",n.
condone,"to pardon, deliberately overlook (He refused to condone his brother’s crime.)",v.
conduit,"a pipe or channel through which something passes (The water flowed through the conduit into the container.)",n.
confection,"a sweet, fancy food (We went to the mall food court and purchased a delicious confection.)",n.
confidant,"a person entrusted with secrets (Shortly after we met, she became my chief confidant.)",n.
conflagration,"great fire (The conflagration consumed the entire building.)",n.
confluence,"a gathering together (A confluence of different factors made tonight the perfect night.)",n.
conformist,"one who behaves the same as others (Julian was such a conformist that he had to wait and see if his friends would do something before he would commit.)",n.
confound,"to frustrate, confuse (MacGuyver confounded the policemen pursuing him by covering his tracks.)",v.
congeal,"to thicken into a solid (The sauce had congealed into a thick paste.)",v.
congenial,"pleasantly agreeable (His congenial manner made him popular wherever he went.)",adj.
congregation,"a gathering of people, especially for religious services (The priest told the congregation that he would be retiring.)",n.
congruity,"the quality of being in agreement (Bill and Veronica achieved a perfect congruity of opinion.)",n.
connive,"to plot, scheme (She connived to get me to give up my vacation plans.)",v.
consecrate,"to dedicate something to a holy purpose (Arvin consecrated his spare bedroom as a shrine to Christina.)",v.
consensus,"an agreement of opinion (The jury was able to reach a consensus only after days of deliberation.)",n.
consign,"to give something over to another’s care (Unwillingly, he consigned his mother to a nursing home.)",v.
consolation,"an act of comforting (Darren found Alexandra’s presence to be a consolation for his suffering.)",n.
consonant,"in harmony (The singers’ consonant voices were beautiful.)",adj.
constituent,"an essential part (The most important constituent of her perfume is something called ambergris.)",n.
constrain,"to forcibly restrict (His belief in nonviolence constrained him from taking revenge on his attackers.)",v.
construe,"to interpret (He construed her throwing his clothes out the window as a signal that she wanted him to leave.)",v.
consummate,"to complete a deal; to complete a marriage ceremony through sexual intercourse (Erica and Donald consummated their agreement in the executive boardroom.)",v.
consumption,"the act of consuming (Consumption of intoxicating beverages is not permitted on these premises.)",n.
contemporaneous,"existing during the same time (Though her novels do not feature the themes of Romanticism, Jane Austen’s work was contemporaneous with that of Wordsworth and Byron.)",adj.
contentious,"having a tendency to quarrel or dispute (George’s contentiouspersonality made him unpopular with his classmates.)",adj.
contravene,"to contradict, oppose, violate (Edwidge contravened his landlady’s rule against overnight guests.)",v.
contrite,"penitent, eager to be forgiven (Blake’s contrite behavior made it impossible to stay angry at him.)",adj.
contusion,"bruise, injury (The contusions on his face suggested he’d been in a fight.)",n.
