word,definition
subordinate,lower in rank or position
subsequent,coming after something in time
substitute,a person or thing acting or serving in place of another
superior,"higher in rank, status, or quality"
supplement,something that completes or enhances something else when added to it
swarm,move somewhere in large numbers
tangible,clear and definite; real
terminate,bring to an end
terrain,"a stretch of land, especially with regard to its physical features"
thesis,a statement or theory that is put forward as a premise to be maintained or proved
trait,a distinguishing quality or characteristic
transfer,move from one place to another
transform,"make a thorough or dramatic change in the form, appearance, or character of"
transport,"take or carry (people or goods) from one place to another by means of a vehicle, aircraft, or ship"
treacherous,guilty of or involving betrayal or deception
unanimous,(of two or more people) fully in agreement
unique,being the only one of its kind
unprecedented,never done or known before
unruly,disorderly and disruptive
urban,"n, relating to, or characteristic of a city or town"
vacate,leave (a place that one previously occupied)
verdict,an opinion or judgment
verge,an edge or border
vibrant,full of energy and enthusiasm
violate,break or fail to comply with (a rule or formal agreement)
vital,absolutely necessary or important; essential
abandon,cease to support or look after someone or something
abate,cause to become smaller or less intense
abdicate,fail to fulfill or undertake (a responsibility or duty)
abhor,regard with disgust and hatred
abnormal,"deviating from what is normal or usual, typically in a way that is undesirable or worrying"
abode,a place of residence; a house or home
abrasive,(of a person or manner) showing little concern for the feelings of others; harsh
abruptly,suddenly and unexpectedly
abundant,existing or available in large quantities; plentiful
access,"obtain, examine, or retrieve (data or a file)"
accommodate,fit in with the wishes or needs of
acknowledge,accept or admit the existence or truth of
acquire,buy or obtain (an object or asset) for oneself
addict,"a person who is addicted to a particular substance, typically an illegal drug"
adequate,satisfactory or acceptable in quality or quantity
adhere,believe in and follow the practices of
affiliation,the state of being attached or connected to an organization
agitate,make (someone) troubled or nervous
agony,extreme physical or mental suffering
allege,suppose or affirm to be the case.
allegiance,loyalty or commitment of a subordinate to a superior or of an individual to a group or cause
allocate,distribute (resources or duties) for a particular purpose
alternative,(of one or more things) available as another possibility
ambition,"a strong desire to do or to achieve something, typically requiring determination and hard work"
amendment,a minor change in a document
ample,enough or more than enough; plentiful
analyze,examine methodically and in detail
anarchy,a state of disorder due to absence or nonrecognition of authority
anguish,severe mental or physical pain or suffering
anticipate,regard as probable; expect or predict
absurd,inconsistent with reason or logic or common sense
abuse,cruel or inhumane treatment
accomplish,to put in effect or gain with effort
accurate,matching exactly or almost exactly to something
appropriate,suitable or proper in the circumstances
arid,(of land or a climate) having little or no rain; too dry or barren to support vegetation
arrogant,having or revealing an exaggerated sense of one’s own importance or abilities
authentic,of undisputed origin; genuine
avid,having or showing a keen interest in or enthusiasm for something
awe,a feeling of reverential respect mixed with fear or wonder
barren,(of a place or building) bleak and lifeless
beacon,"a fire or light set up in a high or prominent position as a warning, signal, or celebration"
belligerent,hostile and aggressive
beneficial,favorable or advantageous; resulting in good
bias,"prejudice in favor of or against one thing, person, or group compared with another, usually in a way considered to be unfair"
bisect,divide into two parts
bizarre,"very strange or unusual, especially so as to cause interest or amusement"
blunder,a stupid or careless mistake
boisterous,"(of a person, event, or behavior) noisy, energetic, and cheerful; rowdy"
boycott,"withdraw from commercial or social relations with (a country, organization, or person) as a punishment or protest"
burden,load heavily
calculate,intend (an action) to have a particular effect
campaign,an organized course of action to achieve a particular goal
candor,the quality of being open and honest in expression; frankness
capacity,"the ability or power to do, experience, or understand something"
capital,wealth in the form of money or other assets owned by a person or organization or available or contributed for a particular purpose such as starting a company or investing
catastrophe,an event causing great and often sudden damage or suffering; a disaster
chronological,(of a record of events) starting with the earliest and following the order in which they occurred
civic,"relating to the duties or activities of people in relation to their town, city, or local area"
clarity,"the quality of being clear, in particular"
collaborate,"work jointly on an activity, especially to produce or create something"
collide,come into conflict or opposition
commend,praise formally or officially
commentary,an expression of opinions or offering of explanations explanations about an event or situation
compact,closely and neatly packed together; dense
compel,force or oblige (someone) to do something
component,"a part or element of a larger whole, especially a part of a machine or vehicle"
composure,the state or feeling of being calm and in control of oneself
concur,be of the same opinion; agree
confiscate,take or seize (someone’s property) with authority
connotation,an idea or feeling that a word invokes in addition to its literal or primary meaning
conscientious,"(of a person) wishing to do what is right, especially to do one’s work or duty well and thoroughly"
consecutive,following continuously
consent,permission for something to happen or agreement to do something
conserve,prevent the wasteful or harmful overuse of (a resource)
conspicuous,standing out so as to be clearly visible
constant,occurring continuously over a period of time
consult,seek information or advice from (someone with expertise in a particular area)
contaminate,make (something) impure by exposure to or addition of a poisonous or polluting substance
controversy,"disagreement, typically when prolonged, public, and heated"
convenient,"fitting in well with a person’s needs, activities, and plans"
cope,(of a person) deal effectively with something difficult
copious,abundant in supply or quantity
cordial,warm and friendly
cultivate,"try to acquire or develop (a quality, sentiment, or skill)"
cumulative,"increasing or increased in quantity, degree, or force by successive additions"
dawdle,waste time; be slow
deluge,a great quantity of something arriving at the same time
dense,closely compacted in substance
depict,"show or represent by a drawing, painting, or other art form"
deplete,use up the supply or resources of
deposit,"put or set down (something or someone) in a specific place, typically unceremoniously"
derogatory,showing a critical or disrespectful attitude
designate,officially assign a specified status or ascribe a specified name or quality to
desperate,"feeling, showing, or involving a hopeless sense that a situation is so bad as to be impossible to deal with"
despicable,deserving hatred and contempt
despondent,in low spirits from loss of hope or courage
deteriorate,become progressively worse
devious,showing a skillful use of underhanded tactics to achieve goals
devour,consume (food or something) hungrily or quickly
dialogue,"a discussion between two or more people or groups, especially one directed toward exploration of a particular subject or resolution of a problem"
diligent,having or showing care and conscientiousness in one’s work or duties
diminish,make or become less
discretion,the freedom to decide what should be done in a particular situation
dissent,"hold or express opinions that are at variance with those previously, commonly, or officially expressed"
dissolve,close down or dismiss (an assembly or official body)
distinct,recognizably different in nature from something else of a similar type
diversity,the state of being different; variety
domestic,relating to the running of a home or to family relations
drone,speak tediously in a dull monotonous tone
dumbfound,greatly astonish or amaze
duration,the time during which something continues
dwell,"think, speak, or write at length about (a particular subject, especially one that is a source of unhappiness, anxiety, or dissatisfaction)"
eclipse,"deprive (someone or something) of significance, power, or prominence"
economy,careful management of available resources
eerie,strange and frightening
effects,personal belongings
efficient,preventing the wasteful use of a particular resource
elude,"evade or escape from (a danger, enemy, or pursuer)"
embark,"begin (a course of action, especially one that is important or demanding)"
emblem,"device or symbolic object as a distinctive badge of a nation, organization, or family"
encounter,unexpectedly experience or be faced with (something difficult or hostile)
endeavor,try hard to do or achieve something
endure,remain in existence; last
ensue,happen or occur afterward or as a result
enthrall,capture the fascinated attention of
epidemic,"a sudden, widespread occurrence of a particular undesirable phenomenon"
equivalent,"equal in value, amount, function, meaning, etc"
erode,gradually destroy or be gradually destroyed
erupt,break out or burst forth suddenly and dramatically
esteem,"respect and admiration, typically for a person"
estimate,"roughly calculate or judge the value, number, quantity, or extent of"
evaluate,"form an idea of the amount, number, or value of; assess"
evidence,be or show proof of
excel,be exceptionally good at or proficient in an activity or subject
exclude,"eny (someone) access to or bar (someone) from a place, group, or privilege"
exonerate,"(especially of an official body) absolve (someone) from blame for a fault or wrongdoing, especially after due consideration of the case"
expanse,"an area of something, typically land or sea, presenting a wide continuous surface"
exploit,make full use of and derive benefit from (a resource)
extinct,no longer in existence
exuberant,filled with or characterized by a lively energy and excitement
fathom,understand (a difficult problem or an enigmatic person) after much thought
feud,a prolonged and bitter quarrel or dispute
figment,a thing that someone believes to be real but that exists only in their imagination
firebrand,"a person who is passionate about a particular cause, typically inciting change and taking radical action"
flabbergast,surprise (someone) greatly; astonish
flagrant,of something considered wrong or immoral) conspicuously or obviously offensive
flaw,"a mark, fault, or other imperfection that mars a substance or object"
focus,the center of interest or activity
formidable,"inspiring fear or respect through being impressively large, powerful, intense, or capable"
fruitless,failing to achieve the desired results; unproductive or useless
gaudy,"extravagantly bright or showy, typically so as to be tasteless"
geography,the nature and relative arrangement of places and physical features
gratify,give (someone) pleasure or satisfaction
gravity,extreme or alarming importance; seriousness
grim,forbidding or uninviting
grimy,covered with or characterized by grime
grueling,extremely tiring and demanding
gruesome,causing repulsion or horror; grisly
haggle,"dispute or bargain persistently, especially over the cost of something"
headlong,in a rush; with reckless haste
hilarious,extremely amusing
homage,special honor or respect shown publicly
homicide,the deliberate and unlawful killing of one person by another; murder
horrid,causing horror
hospitable,friendly and welcoming to strangers or guests
hurtle,"move or cause to move at a great speed, typically in a wildly uncontrolled manner"
hybrid,a thing made by combining two different elements; a mixture
Illiterate,ignorant in a particular subject or activity
imminent,about to happen
impartial,treating all rivals or disputants equally; fair and just
impede,delay or prevent (someone or something) by obstructing them; hinder
impel,"drive, force, or urge (someone) to do something"
implore,beg someone earnestly or desperately to do something
incident,an event or occurrence
incredulous,(of a person or their manner) unwilling or unable to believe something
industrious,diligent and hard-working
infamous,well known for some bad quality or deed
insinuate,suggest or hint (something bad or reprehensible) in an indirect and unpleasant way
inspire,"fill (someone) with the urge or ability to do or feel something, especially to do something creative"
intensify,become or make more extreme
intimidate,"frighten or overawe (someone), especially in order to make them do what one wants"
inundate,overwhelm (someone) with things or people to be dealt with; flood
irate,feeling or characterized by great anger
irrelevant,not connected with or relevant to something
lavish,"rich, elaborate, or luxurious"
legacy,a thing handed down by a predecessor
legendary,remarkable enough to be famous; very well known
legitimate,able to be defended with logic or justification
lethal,harmful or destructive
liaison,communication or cooperation that facilitates a close working relationship between people or organizations
libel,a published false statement that is damaging to a person’s reputation
loath,reluctant; unwilling
lurk,(of a person or animal) be or remain hidden so as to wait in ambush for someone or something
magnetic,very attractive or alluring
magnitude,the great size or extent of something
maternal,denoting feelings associated with or typical of a mother; motherly
maul,(of an animal) wound (a person or animal) by scratching and tearing
melancholy,"a feeling of pensive sadness, typically with no obvious cause"
mellow,"(especially of sound, taste, and color) pleasantly smooth or soft; free from harshness"
mirth,"amusement, especially as expressed in laughter"
mitigate,"make less severe, serious, or painful"
modify,make partial or minor changes to (something)
momentum,the impetus gained by a moving object
mortify,"cause (someone) to feel embarrassed, ashamed, or humiliated"
mull,"think about (a fact, proposal, or request) deeply and at length"
murky,"not fully explained or understood, especially with concealed dishonesty or immorality"
mutiny,"an open rebellion against the proper authorities, especially by soldiers or sailors against their officers"
naive,"(of a person or action) showing a lack of experience, wisdom, or judgment"
narrative,a representation of a particular situation or process in such a way as to reflect or conform to an overarching set of aims or values
necessity,the fact of being required or indispensable
negligent,failing to take proper care in doing something
nimble,quick and light in movement or action; agile
nomadic,"wandering, traveling from place to place"
noteworthy,"interesting, significant, or unusual"
notify,"inform (someone) of something, typically in a formal or official manner"
notorious,"famous or well known, typically for some bad quality or deed"
novel,new or unusual in an interesting way
novice,a person new to or inexperienced in a field or situation
nurture,care for and encourage the growth or development of
obliged,be indebted or grateful
obsolete,no longer produced or used; out of date
oppress,"keep (someone) in subservience and hardship, especially by the unjust exercise of authority"
oration,"a formal speech, especially one given on a ceremonial occasion"
orthodox,not independent-minded; conventional and unoriginal
overwhelm,give too much of a thing to (someone); inundate
pamper,"indulge with every attention, comfort, and kindness; spoil"
patronize,treat with an apparent kindness that betrays a feeling of superiority
peevish,"easily irritated, especially by unimportant things"
pelt,attack (someone) by repeatedly hurling things at them
pending,about to happen; imminent
perceive,interpret or look on (someone or something) in a particular way
perish,suffer complete ruin or destruction
perjury,the offense of willfully telling an untruth in a court after having taken an oath or affirmation
permanent,lasting or intended to last or remain unchanged indefinitely
persist,"continue firmly or obstinately in an opinion or a course of action in spite of difficulty, opposition, or failure"
perspective,a particular attitude toward or way of regarding something; a point of view
persuasive,good at convincing someone to do or believe something through reasoning or the use of temptation
perturb,make (someone) anxious or unsettled
pique,stimulate (interest or curiosity)
pluck,catch hold of and pull quickly
poised,having a composed and self-assured manner
ponder,think about (something) carefully
potential,having or showing the capacity to become or develop into something in the future
precise,marked by exactness and accuracy of expression or detail
predatory,seeking to exploit or oppress others
presume,suppose that something is the case on the basis of probability
prevalent,widespread in a particular area at a particular time
preview,an inspection or viewing of something before it is bought or becomes generally known and available
prior,"existing or coming before in time, order, or importance"
profound,"(of a state, quality, or emotion) very great or intense"
prominent,important; famous
proprietor,"the owner of a business, or a holder of property"
prowess,skill or expertise in a particular activity or field
punctual,happening or doing something at the agreed or proper time; on time
quench,stifle or suppress (a feeling)
radiant,sending out light; shining or glowing brightly
random,"made, done, happening, or chosen without method or conscious decision"
rant,"speak or shout at length in a wild, impassioned way"
rebuke,express sharp disapproval or criticism of (someone) because of their behavior or actions
recede,go or move back or further away from a previous position
reprimand,"scold (someone), especially officially"
resolve,firm determination to do something
resume,begin to do or pursue (something) again after a pause or interruption
retort,"a sharp, angry, or wittily incisive reply to a remark"
reverberate,have continuing and serious effects
robust,strong and healthy; vigorous
rupture,break or burst suddenly
saga,"a long, involved story, account, or series of incidents"
sequel,something that takes place after or as a result of an earlier event
sham,a thing that is not what it is purported to be
shirk,avoid or neglect (a duty or responsibility)
signify,be an indication of
simulate,imitate the appearance or character of
simultaneously,at the same time
snare,catch or trap (someone)
species,a kind or sort
spontaneous,performed or occurring as a result of a sudden inner impulse or inclination and without premeditation or external stimulus
status,"the relative social, professional, or other standing of someone or something"
stodgy,dull and uninspired
substantial,"of considerable importance, size, or worth"
subtle,(especially of a change or distinction) so delicate or precise as to be difficult to analyze or describe
sullen,bad-tempered and sulky; gloomy
supervise,"observe and direct the execution of (a task, project, or activity)"
suspense,a state or feeling of excited or anxious uncertainty about what may happen
tamper,nterfere with (something) in order to cause damage or make unauthorized alterations
theory,a set of principles on which the practice of an activity is based
throb,"beat or sound with a strong, regular rhythm; pulsate steadily"
toxic,poisonous
tragedy,"an event causing great suffering, destruction, and distress, such as a serious accident, crime, or natural catastrophe"
trickle,come or go slowly or gradually
trivial,of little value or importance
uncertainty,the state of being unknown
unscathed,"without suffering any injury, damage, or harm"
upright,(of a person) sitting or standing with the back straight
urgent,(of a state or situation) requiring immediate action or attention
utmost,most extreme; greatest
vengeance,punishment inflicted or retribution exacted for an injury or wrong
vicious,deliberately cruel or violent
viewpoint,a particular attitude or way of considering a matter
vindictive,having or showing a strong or unreasoning desire for revenge
vista,"a pleasing view, especially one seen through a long, narrow opening"
vocation,"a person’s employment or main occupation, especially regarded as particularly worthy and requiring great dedication"
void,completely empty
wary,feeling or showing caution about possible dangers or problems
whim,"a sudden desire or change of mind, especially one that is unusual or unexplained"
wince,give a slight involuntary grimace or shrinking movement of the body out of or in anticipation of pain or distress
wrath,extreme anger (chiefly used for humorous or rhetorical effect)
antagonist,a person who actively opposes or is hostile to someone or something; an adversary
antonym,a word opposite in meaning to another
anxious,"experiencing worry, unease, or nervousness, typically about an imminent event or something with an uncertain outcome"
apparent,clearly visible or understood; obvious
